Comment,Emotion,Clean_Comment
im feeling lucky width li style border px list style outside margin px px,joy,im feeling lucky width li style border px list style outside margin px px
im so excited but at the same time i feel a little nervous,fear,im excited time feel little nervous
i feel like throughout my life to this point in time i can say that ive fucked quite a few people,anger,feel like throughout life point time say ive fucked quite people
i feel uncertain of how i can keep my personal development of fitness and health going in the right direction,fear,feel uncertain keep personal development fitness health going right direction
i still feel it does the genre a disservice when stories are resolved artifically,joy,still feel genre disservice story resolved artifically
i feel petty jealousy or anger yesterday in the face of my wifes happiness and our decision to chaperone a trip with my sons school,anger,feel petty jealousy anger yesterday face wife happiness decision chaperone trip son school
i wasnt feeling mad at god or angry for him allowing this to happen to me i was just sad,anger,wasnt feeling mad god angry allowing happen sad
i am feeling that he does i wonder if such a dangerous place could be settled with the mentality that the enmayi have to bring to the possibility,anger,feeling wonder dangerous place could settled mentality enmayi bring possibility
i am feeling restless for some reason today,fear,feeling restless reason today
i start to feel agitated inside,anger,start feel agitated inside
i could wear on a casual shopping trip to feel fabulous without even trying,joy,could wear casual shopping trip feel fabulous without even trying
im not emo ing no no no haha i am feeling happy instead for being able to meet up with them,joy,im emo ing haha feeling happy instead able meet
i don t know it s just that it was like on top of our head so much of yesterday that it was really bothersome and we re still feeling a little mad about it,anger,know like top head much yesterday really bothersome still feeling little mad
